a,b,q_scaled,result,winning_move,visits,memo
1048556,518118,64,1,2,1773,867
518118,1048556,-64,0,-2,2504,1962
1048556,518118,32,1,2,22473,11243
518118,1048556,-32,0,-2,32365,22819
1048556,518118,16,1,7,104673,59609
518118,1048556,-16,0,-2,135411,103186
1048556,518118,0,1,7,9235,106845
518118,1048556,0,1,8,7495,110020
1048556,518118,-16,0,-2,379902,235877
518118,1048556,16,1,8,328095,330349
1048556,518118,-32,0,-2,43204,345763
518118,1048556,32,1,8,1,345763
1048536,518117,64,0,-2,96718,381837
518117,1048536,-64,0,-2,7870,384511
1048536,518117,32,0,-2,30839,394962
518117,1048536,-32,2,-3,3000001,1218572
1048536,518117,16,0,-2,30776,1228346
518117,1048536,-16,1,-1,2471610,1812264
1048536,518117,0,0,-2,6968,1814611
518117,1048536,0,1,0,1,1814611
1048536,518117,-16,0,-2,29910,1824561
518117,1048536,16,1,0,932214,2048994
1048536,518117,-32,0,-2,12387,2052810
518117,1048536,32,1,0,1,2052810
1048497,518115,64,1,0,2,2052811
518115,1048497,-64,0,-2,325,2052929
1048497,518115,32,1,0,2,2052930
518115,1048497,-32,0,-2,693,2053138
1048497,518115,16,1,7,7111,2055949
518115,1048497,-16,0,-2,1178,2056261
1048497,518115,0,1,8,3110,2057554
518115,1048497,0,1,0,1190,2058019
1048497,518115,-16,0,-2,9914,2061514
518115,1048497,16,1,0,10566,2064918
1048497,518115,-32,0,-2,4488,2066552
518115,1048497,32,1,0,1,2066552
1048435,518119,64,0,-2,48685,2084079
518119,1048435,-64,0,-2,1817,2084702
1048435,518119,32,0,-2,19519,2090822
518119,1048435,-32,1,-1,1749971,2558106
1048435,518119,16,0,-2,18495,2563616
518119,1048435,-16,1,-1,1470486,2899111
1048435,518119,0,0,-2,4243,2900516
518119,1048435,0,1,0,1,2900516
1048435,518119,-16,0,-2,23115,2907912
518119,1048435,16,1,0,596752,3049133
1048435,518119,-32,0,-2,31970,12222
518119,1048435,32,1,0,32236,24355
1048270,518119,64,0,-2,68644,50910
518119,1048270,-64,0,-2,8578,53916
1048270,518119,32,0,-2,20535,60920
518119,1048270,-32,2,-3,3000001,906508
1048270,518119,16,0,-2,14619,911241
518119,1048270,-16,1,-1,2634527,1550084
1048270,518119,0,0,-2,6526,1552403
518119,1048270,0,1,0,1,1552403
1048270,518119,-16,0,-2,22516,1559779
518119,1048270,16,1,0,1050166,1815498
1048270,518119,-32,0,-2,9081,1818368
518119,1048270,32,1,0,1,1818368
1047949,518087,64,1,0,1655,1819108
518087,1047949,-64,0,-2,1843,1819886
1047949,518087,32,1,0,17011,1826547
518087,1047949,-32,0,-2,3176,1827680
1047949,518087,16,1,8,39309,1841925
518087,1047949,-16,0,-2,29128,1851104
1047949,518087,0,1,8,6960,1854007
518087,1047949,0,1,0,3175,1855400
1047949,518087,-16,0,-2,36640,1868808
518087,1047949,16,1,0,7104,1871499
1047949,518087,-32,0,-2,4795,1873281
518087,1047949,32,1,0,1,1873281
1047323,518055,64,0,-2,28035,1883160
518055,1047323,-64,0,-2,2662,1884098
1047323,518055,32,0,-2,13369,1888308
518055,1047323,-32,1,-1,1946627,2400684
1047323,518055,16,0,-2,16858,2405595
518055,1047323,-16,1,-1,1389631,2711772
1047323,518055,0,0,-2,3938,2713067
518055,1047323,0,1,0,1,2713067
1047323,518055,-16,0,-2,21617,2719351
518055,1047323,16,1,0,594202,2859350
1047323,518055,-32,0,-2,4787,2860750
518055,1047323,32,1,0,1,2860750
1046327,517991,64,1,0,289,2860872
517991,1046327,-64,0,-2,3764,2862227
1046327,517991,32,1,0,5161,2864013
517991,1046327,-32,0,-2,6312,2866027
1046327,517991,16,1,0,15889,2871025
517991,1046327,-16,0,-2,5767,2873075
1046327,517991,0,1,0,1310,2873564
517991,1046327,0,1,2,5128,2875536
1046327,517991,-16,0,-2,33561,2887995
517991,1046327,16,1,2,24343,2896524
1046327,517991,-32,0,-2,4956,2898258
517991,1046327,32,1,0,1,2898258
1043695,517863,64,1,0,469,2898443
517863,1043695,-64,0,-2,6387,2900678
1043695,517863,32,1,0,1168,2901115
517863,1043695,-32,0,-2,6335,2903169
1043695,517863,16,1,0,1126,2903585
517863,1043695,-16,0,-2,10512,2906986
1043695,517863,0,1,0,1338,2907493
517863,1043695,0,0,-2,2963,2908587
1043695,517863,-16,1,-1,90424,2939940
517863,1043695,16,0,-2,17756,2945698
