mask=1966071 safe=1 checkpoints=10181 edges=46795 minimax_calls=403747 memo_entries=134893
mask=1048575 safe=0 checkpoints=3395 edges=16247 minimax_calls=453894 memo_entries=147610
mask=1572863 safe=0 checkpoints=4292 edges=18407 minimax_calls=1923646 memo_entries=609070
mask=1835007 safe=0 checkpoints=5145 edges=24092 minimax_calls=2443866 memo_entries=769281
mask=2031615 safe=0 checkpoints=3933 edges=18523 minimax_calls=2625854 memo_entries=819535
mask=2064383 safe=0 checkpoints=3535 edges=15076 minimax_calls=2995552 memo_entries=942928
mask=2080767 safe=0 checkpoints=3960 edges=17892 minimax_calls=3134681 memo_entries=980579
mask=2088959 safe=0 checkpoints=4957 edges=21256 minimax_calls=3560696 memo_entries=1097388
mask=2093055 safe=0 checkpoints=4943 edges=22909 minimax_calls=3701586 memo_entries=1136733
mask=2095103 safe=0 checkpoints=4496 edges=19799 minimax_calls=3795672 memo_entries=1161355
mask=2096127 safe=0 checkpoints=4394 edges=20567 minimax_calls=3912646 memo_entries=1192403
mask=2096639 safe=0 checkpoints=5361 edges=23047 minimax_calls=4015966 memo_entries=1220070
mask=2096895 safe=0 checkpoints=4573 edges=21427 minimax_calls=4269432 memo_entries=1294240
mask=2097023 safe=0 checkpoints=4883 edges=21033 minimax_calls=4370262 memo_entries=1321991
mask=2097087 safe=0 checkpoints=3817 edges=18367 minimax_calls=4398406 memo_entries=1325344
mask=2097119 safe=0 checkpoints=4028 edges=17409 minimax_calls=4426079 memo_entries=1328825
mask=2097135 safe=0 checkpoints=5307 edges=24555 minimax_calls=4542488 memo_entries=1358000
mask=2097147 safe=0 checkpoints=4400 edges=20984 minimax_calls=4617127 memo_entries=1375010
mask=2097149 safe=0 checkpoints=3304 edges=14195 minimax_calls=4634322 memo_entries=1375960
mask=2097150 safe=0 checkpoints=4373 edges=20886 minimax_calls=4796676 memo_entries=1420093
