h,w,mode,left,right,a,b,result,visits,memo,seconds
3,6,empty,0,0,262143,124830,1,777,392,4.4876e-05
3,6,empty,0,1,262143,124862,1,1125,900,5.0244e-05
3,6,empty,0,2,262143,126878,1,1254,1474,5.9968e-05
3,6,empty,0,3,262143,126910,1,510,1637,1.7796e-05
3,6,empty,0,4,262143,255902,1,1164,2144,4.8451e-05
3,6,empty,0,5,262143,255934,1,1879,2900,9.5671e-05
3,6,empty,0,6,262143,257950,1,647,3101,2.3164e-05
3,6,empty,0,7,262143,257982,1,412,3206,1.5232e-05
3,6,empty,1,0,262143,124831,1,2,3207,1.61e-07
3,6,empty,1,1,262143,124863,1,2,3208,2.9e-07
3,6,empty,1,2,262143,126879,1,2,3209,1.2e-07
3,6,empty,1,3,262143,126911,1,2,3210,2.31e-07
3,6,empty,1,4,262143,255903,1,2,3211,1.51e-07
3,6,empty,1,5,262143,255935,1,2,3212,2.1e-07
3,6,empty,1,6,262143,257951,1,2,3213,1.4e-07
3,6,empty,1,7,262143,257983,1,2,3214,1e-07
3,6,empty,2,0,262143,124894,1,941,3602,5.3639e-05
3,6,empty,2,1,262143,124926,1,1984,4381,7.2406e-05
3,6,empty,2,2,262143,126942,1,2092,5211,0.000126486
3,6,empty,2,3,262143,126974,1,870,5464,2.2724e-05
3,6,empty,2,4,262143,255966,1,1450,5997,4.4796e-05
3,6,empty,2,5,262143,255998,1,25706,16575,0.00131233
3,6,empty,2,6,262143,258014,1,1059,16875,4.4665e-05
3,6,empty,2,7,262143,258046,1,11344,21034,0.000829251
3,6,empty,3,0,262143,124895,1,2,21035,2.2e-07
3,6,empty,3,1,262143,124927,1,2,21036,1.01e-07
3,6,empty,3,2,262143,126943,1,2,21037,1.41e-07
3,6,empty,3,3,262143,126975,1,2,21038,2.41e-07
3,6,empty,3,4,262143,255967,1,2,21039,1.11e-07
3,6,empty,3,5,262143,255999,1,89631,53774,0.00504193
3,6,empty,3,6,262143,258015,1,2,53775,3.31e-07
3,6,empty,3,7,262143,258047,1,39932,67557,0.00209178
3,6,empty,4,0,262143,128926,1,984,67983,5.6112e-05
3,6,empty,4,1,262143,128958,1,2470,68955,0.000124683
3,6,empty,4,2,262143,130974,1,7555,72204,0.000452195
3,6,empty,4,3,262143,131006,1,11417,76748,0.000639992
3,6,empty,4,4,262143,259998,1,2103,77540,0.000134218
3,6,empty,4,5,262143,260030,1,29660,88941,0.00363208
3,6,empty,4,6,262143,262046,1,2968,90052,0.000157091
3,6,empty,4,7,262143,262078,1,6247,92281,0.000351257
3,6,empty,5,0,262143,128927,1,2,92282,2.1e-07
3,6,empty,5,1,262143,128959,1,2,92283,3.21e-07
3,6,empty,5,2,262143,130975,1,2,92284,1.6e-07
3,6,empty,5,3,262143,131007,1,2,92285,2.1e-07
3,6,empty,5,4,262143,259999,1,2,92286,1.41e-07
3,6,empty,5,5,262143,260031,0,93651,124032,0.00443109
3,6,empty,5,6,262143,262047,1,2,124033,2.11e-07
3,6,empty,5,7,262143,262079,0,3407,125079,0.000152174
3,6,empty,6,0,262143,128990,1,380,125195,2.1011e-05
3,6,empty,6,1,262143,129022,1,1065,125524,5.3969e-05
3,6,empty,6,2,262143,131038,1,2817,126505,0.000174136
3,6,empty,6,3,262143,131070,1,5953,128728,0.000330426
3,6,empty,6,4,262143,260062,1,429,128864,2.3034e-05
3,6,empty,6,5,262143,260094,1,7130,131220,0.000440218
3,6,empty,6,6,262143,262110,1,1384,131668,7.8225e-05
3,6,empty,6,7,262143,262142,1,434,131798,2.3274e-05
3,6,empty,7,0,262143,128991,1,2,131799,2.2e-07
3,6,empty,7,1,262143,129023,1,2,131800,1.5e-07
3,6,empty,7,2,262143,131039,1,2,131801,2e-07
3,6,empty,7,3,262143,131071,1,2,131802,1.4e-07
3,6,empty,7,4,262143,260063,1,2,131803,1.3e-07
3,6,empty,7,5,262143,260095,0,21056,138563,0.00121401
3,6,empty,7,6,262143,262111,1,2,138564,1.8e-07
3,6,empty,7,7,262143,262143,0,1,138565,1.3e-07
