width,row,column,state,quarter_offset,result,visits,memo
5,1,3,D,0,0,1314452,410732
5,1,3,D,1,2,10000001,3049379
5,1,3,D,-4,0,226979,3125863
5,1,3,U,0,0,2310002,3817520
5,1,3,U,1,2,10000001,6335933
5,1,3,U,-4,0,380132,133973
5,1,3,V,0,1,3655,135557
5,1,3,V,1,1,25146,144886
5,1,3,V,-4,1,18742,152446
5,1,3,R,0,1,4150,153970
5,1,3,R,1,1,92510,186071
5,1,3,R,-4,1,2602360,1057033
5,1,3,X,0,1,3589,1058371
5,1,3,X,1,1,9872,1061634
5,1,3,X,-4,1,6679,1063876
5,1,3,J,0,0,1563365,1581699
5,1,3,J,1,2,10000001,4306754
5,1,3,J,-4,0,154473,4358284
5,2,3,D,0,1,5663,4360447
5,2,3,D,1,1,35618,4372773
5,2,3,D,-4,1,76590,4398638
5,2,3,U,0,1,3989,4400005
5,2,3,U,1,1,88491,4427669
5,2,3,U,-4,1,286089,4516831
5,2,3,V,0,1,10421,4520287
5,2,3,V,1,1,102918,4552533
5,2,3,V,-4,1,41991,4566778
5,2,3,R,0,1,4699,4568143
5,2,3,R,1,1,2091261,5177278
5,2,3,R,-4,0,1142599,406569
5,2,3,X,0,1,9695,409773
5,2,3,X,1,1,1531717,855547
5,2,3,X,-4,0,2202859,1559759
5,2,3,J,0,1,9023,1562923
5,2,3,J,1,1,373483,1676560
5,2,3,J,-4,1,1515705,2122594
5,3,3,D,0,0,878415,2394578
5,3,3,D,1,2,10000001,4986110
5,3,3,D,-4,0,264602,5072802
5,3,3,U,0,0,975170,308690
5,3,3,U,1,2,10000001,2902419
5,3,3,U,-4,0,280579,2995745
5,3,3,V,0,1,4077,2997390
5,3,3,V,1,1,12925,3002028
5,3,3,V,-4,1,8404,3005071
5,3,3,R,0,1,2685,3006041
5,3,3,R,1,1,160254,3058466
5,3,3,R,-4,1,91237,3090486
5,3,3,X,0,1,4372,3091993
5,3,3,X,1,1,12380,3095840
5,3,3,X,-4,1,8486,3098526
5,3,3,J,0,0,1725552,3632048
5,3,3,J,1,1,3612211,4618200
5,3,3,J,-4,0,580268,4800659
