value	PF_7x7_B-_W05	INCONCLUSIVE(in (-24,26))	149.52s	[ 2:? ]
value	PF_7x7_B1364_W232554	2	1.40s	[ 2:P ]
value	PF_7x7_B53_W52	INCONCLUSIVE(in (-24,25))	149.66s	[ 1:? ]
value	PF_7x7_B35_W344565	3	21.61s	[ 3:P ]
value	PF_7x7_B4046_W010323	2	2.61s	[ 2:P ]
value	PF_7x7_B2640_W3645	1	130.45s	[ 1:P ]
value	PF_7x7_B46_W21	INCONCLUSIVE(in (-24,25))	149.66s	[ 1:? ]
value	PF_7x7_B00_W30	INCONCLUSIVE(in (-24,25))	149.66s	[ 1:? ]
value	PF_7x7_B11_W324561	3	0.80s	[ 3:P ]
value	PF_7x7_B40_W4565	2	96.64s	[ 2:P ]
value	PF_7x7_B3151_W1441	1	14.01s	[ 1:P ]
value	PF_7x7_B406264_W214345	1	0.40s	[ 1:P ]
DONE
