h,w,mode,left,right,a,b,result,visits,memo,seconds
3,4,middle-w,0,0,4079,1638,1,36,23,6.43e-06
3,4,middle-w,0,1,4079,1646,1,70,65,5.928e-06
3,4,middle-w,0,2,4079,1766,1,62,103,2.915e-06
3,4,middle-w,0,3,4079,1774,1,38,118,2.854e-06
3,4,middle-w,0,4,4079,3686,1,64,154,3.665e-06
3,4,middle-w,0,5,4079,3694,1,126,222,7.692e-06
3,4,middle-w,0,6,4079,3814,1,42,238,1.732e-06
3,4,middle-w,0,7,4079,3822,1,34,248,2.614e-06
3,4,middle-w,1,0,4079,1639,1,2,249,1.8e-07
3,4,middle-w,1,1,4079,1647,1,2,250,1e-07
3,4,middle-w,1,2,4079,1767,1,2,251,7e-08
3,4,middle-w,1,3,4079,1775,1,2,252,1.2e-07
3,4,middle-w,1,4,4079,3687,1,2,253,1.2e-07
3,4,middle-w,1,5,4079,3695,1,2,254,1.01e-07
3,4,middle-w,1,6,4079,3815,1,2,255,9e-08
3,4,middle-w,1,7,4079,3823,1,2,256,1.1e-07
3,4,middle-w,2,0,4079,1654,1,55,286,5.628e-06
3,4,middle-w,2,1,4079,1662,1,124,349,5.048e-06
3,4,middle-w,2,2,4079,1782,1,104,403,5.087e-06
3,4,middle-w,2,3,4079,1790,1,63,425,1.983e-06
3,4,middle-w,2,4,4079,3702,1,85,464,4.317e-06
3,4,middle-w,2,5,4079,3710,0,1363,1114,7.8907e-05
3,4,middle-w,2,6,4079,3830,1,67,1137,2.374e-06
3,4,middle-w,2,7,4079,3838,0,725,1450,2.9123e-05
3,4,middle-w,3,0,4079,1655,1,2,1451,1.8e-07
3,4,middle-w,3,1,4079,1663,1,2,1452,1.9e-07
3,4,middle-w,3,2,4079,1783,1,2,1453,8e-08
3,4,middle-w,3,3,4079,1791,1,2,1454,1.1e-07
3,4,middle-w,3,4,4079,3703,1,2,1455,7e-08
3,4,middle-w,3,5,4079,3711,0,701,1757,2.9434e-05
3,4,middle-w,3,6,4079,3831,1,2,1758,1.6e-07
3,4,middle-w,3,7,4079,3839,0,246,1869,1.0896e-05
3,4,middle-w,4,0,4079,1894,1,55,1900,2.584e-06
3,4,middle-w,4,1,4079,1902,1,186,1987,8.612e-06
3,4,middle-w,4,2,4079,2022,1,466,2213,2.1541e-05
3,4,middle-w,4,3,4079,2030,1,379,2384,4.0219e-05
3,4,middle-w,4,4,4079,3942,1,61,2411,2.404e-06
3,4,middle-w,4,5,4079,3950,1,785,2767,0.00307965
3,4,middle-w,4,6,4079,4070,1,175,2839,1.2108e-05
3,4,middle-w,4,7,4079,4078,1,684,3127,4.1651e-05
3,4,middle-w,5,0,4079,1895,1,2,3128,2.51e-07
3,4,middle-w,5,1,4079,1903,1,2,3129,1e-07
3,4,middle-w,5,2,4079,2023,0,308,3263,1.4882e-05
3,4,middle-w,5,3,4079,2031,0,258,3369,1.3179e-05
3,4,middle-w,5,4,4079,3943,1,2,3370,1.6e-07
3,4,middle-w,5,5,4079,3951,0,192,3457,9.734e-06
3,4,middle-w,5,6,4079,4071,0,132,3510,5.799e-06
3,4,middle-w,5,7,4079,4079,0,63,3532,2.273e-06
3,4,middle-w,6,0,4079,1910,1,42,3548,3.284e-06
3,4,middle-w,6,1,4079,1918,1,101,3585,4.817e-06
3,4,middle-w,6,2,4079,2038,1,231,3680,1.1937e-05
3,4,middle-w,6,3,4079,2046,1,150,3738,7.801e-06
3,4,middle-w,6,4,4079,3958,1,55,3756,2.103e-06
3,4,middle-w,6,5,4079,3966,0,658,4025,3.1667e-05
3,4,middle-w,6,6,4079,4086,1,136,4074,6.87e-06
3,4,middle-w,6,7,4079,4094,0,398,4227,1.8847e-05
3,4,middle-w,7,0,4079,1911,1,2,4228,1.7e-07
3,4,middle-w,7,1,4079,1919,1,2,4229,1.6e-07
3,4,middle-w,7,2,4079,2039,0,22,4240,1.122e-06
3,4,middle-w,7,3,4079,2047,0,21,4250,1.031e-06
3,4,middle-w,7,4,4079,3959,1,2,4251,1.6e-07
3,4,middle-w,7,5,4079,3967,0,1,4252,1.3e-07
3,4,middle-w,7,6,4079,4087,0,21,4262,8.81e-07
3,4,middle-w,7,7,4079,4095,0,19,4270,8.31e-07
