p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
34377564224	17825888	0	1	true	2	4	1	[0, 5, 260, 518]	[0]	*	4
103113819968	481063601024	0	10	true	2	13	1	[2, 4, 8, 13, 258, 261, 265, 273, 278, 521, 525, 528, 534]	[2]	1	2
927763268864	481047871680	0	1	true	2	13	1	[2, 4, 9, 12, 18, 257, 261, 269, 274, 278, 517, 521, 534]	[2]	1	2
927764841488	481063600768	0	10	true	2	14	1	[2, 5, 26, 258, 260, 265, 273, 278, 282, 518, 520, 525, 528, 534]	[1]	-1	1
893369975104	481046823136	1	1	true	2	10	1	[1, 4, 10, 12, 257, 262, 270, 522, 524, 530]	[1]	-1	2
549806147136	18874464	0	1	true	2	5	3	[2, 4, 10, 258, 262]	[0, 5, 257]	-1	4
50332672	512	0	1	true	2	3	1	[2, 6, 258]	[1]	-1	4
378042582896	1082394149856	1	119	false	2	19	1	[1, 4, 8, 14, 16, 20, 25, 256, 260, 266, 274, 276, 282, 514, 516, 520, 526, 528, 534]	[1]	-1	2
927729713152	481053114432	0	1	true	2	6	1	[0, 6, 260, 517, 772, 1030]	[1]	-1	4
4226332229888	2130365645760	1	126	false	2	17	1	[1, 4, 8, 12, 18, 20, 25, 257, 262, 264, 270, 278, 282, 522, 524, 530, 534]	[1]	-1	2
4226365785856	2130365645760	0	127	false	2	18	1	[2, 4, 8, 12, 17, 20, 26, 258, 260, 264, 269, 277, 281, 518, 520, 524, 529, 533]	[2]	1	2
2302204182528	481062551808	0	1	true	2	8	3	[2, 4, 9, 13, 256, 269, 273, 525]	[2, 6, 258]	2	4
16778752	16777280	0	1	true	2	3	1	[0, 6, 262]	[1]	-1	4
4123235713280	1580547965184	0	1	true	2	7	1	[1, 5, 8, 14, 16, 22, 278]	[0]	*	4
2748862955776	68739400640	1	1	true	2	9	2	[1, 4, 10, 264, 522, 770, 774, 778, 1030]	[1, 5]	-1	1
4123286570752	2130365645760	1	230	false	2	17	1	[1, 4, 8, 12, 18, 22, 257, 260, 264, 270, 278, 282, 517, 520, 524, 530, 534]	[1]	-1	2
1280	8389504	1	1	true	2	4	1	[2, 4, 10, 262]	[1]	-1	4
2199124444928	412345172928	1	2	true	2	14	1	[1, 5, 261, 265, 518, 520, 770, 774, 776, 1026, 1034, 1286, 1290, 1542]	[1]	-1	2
3676559114560	1030800540608	0	1	true	2	10	3	[1, 4, 9, 12, 18, 261, 513, 516, 521, 524]	[2, 6, 258]	2	4
3676559115264	2130337333248	0	1	true	2	9	1	[2, 4, 9, 12, 17, 20, 26, 258, 261]	[2]	1	1
3676560164160	2130348868576	1	137	false	2	17	1	[1, 4, 10, 12, 18, 20, 25, 256, 262, 270, 278, 281, 514, 516, 522, 524, 530]	[1]	-1	2
3676560688496	2130348868576	0	138	false	2	19	1	[2, 4, 8, 13, 16, 21, 258, 260, 265, 273, 281, 286, 518, 520, 525, 528, 533, 536, 542]	[2]	1	2
3676560688496	2181889000416	1	170	false	2	20	1	[1, 4, 8, 14, 16, 22, 256, 260, 266, 274, 282, 285, 514, 516, 520, 526, 528, 534, 536, 541]	[1]	-1	2
824684053760	412325249024	0	1	true	2	7	1	[1, 4, 10, 261, 266, 270, 526]	[2]	1	4
3144000995648	515423339488	0	1	true	2	15	2	[1, 4, 9, 12, 17, 256, 261, 269, 274, 514, 516, 521, 524, 528, 534]	[2, 6]	1	2
1769527574848	1202592940512	0	1	true	2	9	2	[0, 5, 8, 13, 265, 270, 520, 524, 530]	[0, 6]	1/2	4
2035832587072	2130332090848	0	102	false	2	15	2	[0, 4, 8, 13, 16, 22, 260, 265, 273, 276, 518, 520, 525, 528, 533]	[2, 6]	1	2
833240695616	498245042656	1	1	true	2	15	2	[1, 4, 9, 256, 262, 264, 514, 522, 768, 774, 778, 1026, 1030, 1286, 1290]	[1, 5]	-1	2
377957122112	481044725952	1	1	true	2	5	2	[0, 6, 8, 13, 258]	[0, 6]	1/2	4
395154817600	1065170763776	0	1	true	2	10	1	[1, 4, 9, 12, 16, 22, 256, 269, 274, 514]	[2]	1	1
326418563904	292059349472	1	1	true	2	9	1	[0, 5, 258, 260, 518, 520, 526, 528, 533]	[0]	*	4
3367254360128	1305672155232	1	1	true	2	5	2	[2, 4, 262, 516, 522]	[0, 5]	-1/2	4
4234855842112	2130332091360	0	284	false	2	16	2	[1, 4, 9, 12, 17, 256, 261, 269, 272, 514, 516, 521, 524, 528, 532, 538]	[2, 6]	1	2
953500827968	2181871174528	1	108	false	2	17	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 262, 265, 270, 278, 280, 530, 532, 538]	[1]	-1	2
4252035711296	2181871174528	0	109	false	2	18	1	[2, 4, 8, 12, 17, 20, 24, 28, 34, 258, 261, 266, 269, 277, 280, 529, 532, 537]	[2]	1	2
936320958464	2130329993728	1	1	true	2	10	2	[1, 4, 10, 12, 16, 22, 256, 270, 272, 530]	[1, 5]	-1	2
3143933886464	532595343360	0	1	true	2	10	1	[0, 4, 8, 13, 16, 22, 257, 262, 265, 276]	[2]	1	2
4243444465728	2147500425280	0	1	true	2	9	1	[0, 6, 8, 13, 16, 20, 24, 30, 276]	[0]	*	1
833240695104	1924170515424	1	1	true	2	10	2	[2, 4, 8, 260, 266, 518, 520, 526, 528, 534]	[1, 5]	-1	4
2027242389504	1030793201664	0	1	true	2	8	1	[0, 6, 260, 517, 772, 1026, 1028, 1286]	[1]	-1	4
4234922950912	2130430659328	0	140	false	2	15	2	[1, 4, 10, 261, 264, 513, 516, 520, 768, 773, 776, 1033, 1288, 1540, 1546]	[2, 6]	1	3
309321531648	824759552768	0	1	true	2	9	1	[0, 5, 8, 257, 260, 265, 517, 769, 772]	[2]	1	4
